Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
566681,B002UZYZY0,ATD4U6WWE6NA1,William E. Lavinghousez,2,3,5,1269734400,Fruit Cake Special,"When you can't find the fruit in the grocery, this is a great way to buy it!  I bought the 3 pack and so far I have made 4 fruit cakes."
566682,B002UZYZY0,A11WP59UY8VQUC,Chef Sam,0,0,5,1345593600,No Ants Please,"The Product itself is Excellent; however I will only be able to use a portion of the shipment which I received.<br /><br />The Packaging and condition some of it arrived at my restaurant in was POOR***LESS THAN FAVORABLE!!!!!!!!!!!!!!!!1<br /><br />The second package was damaged and infested with ants. I had to get rid of three tubs out of an order of twelve because the plastic cartons had broken open, pearceing the plastic bag outer wrapping which attracted the ants.<br /><br />If more care and ""smarts"" had been used in the initial packaging process; the entire order could have been packed more tightly in the larger box which contained the greater part of the order; thus eliminating the breakage.<br /><br />I do believe that a CREDIT is due me for the three lost Containers.<br /><br />Respectfully Submitted,<br /><br />Chef Sam Pellegrino, Owner<br /><br />Pellegrino's Italian Kitchen & Catering"
566683,B002UZYZY0,ATVF1K2QJKSN9,SL,0,1,1,1302912000,Horrible!!!,Has nothing to do with candied fruit at all. Smells and tastes like PAINT! The most disappointing product I have ever bought via internet.
566684,B0040AZL0A,AKM7KRXIE091L,Erika Bidwell,0,0,5,1340755200,Finding Turkish Taffy-AGAIN!,A classic came back!for all of you that love sticky and chewy-this is the taffy. My order was placed and I had it within three days.
566685,B001SB14FK,A1PQSS5RXHGF94,Donna Bitting,1,1,2,1317254400,Not a great deal,We thought this was a pretty good deal. Well at least they taste OK. The expiration date was for Sep xx 2011. Would have been nice to know since we ordered a case and won't be using it all in two weeks. The product in the can is also all mashed up so if you want to use anchovies in the fillet(whole) this is not a possibilty. The expiration date should be listed on line.
566686,B001SB14FK,A1PMWKB9I537PG,writer_editor,0,0,5,1351036800,Excellent quality,"We have ordered these through Amazon twice now, and have been very satisfied both times.  We've had no problems with expiration dates, and the product is good--the anchovies are whole, and have good flavor.  If you use a lot of anchovies, this is a very convenient way to purchase and store them."
566687,B001EO7LLM,A345JFNRTXYNTF,DMBerg,3,3,5,1205020800,Great Soup,I just tried the Roasted Red Pepper and Asparagus soup for the first time last night. It was an easy to use and flavorful product. I admit to spicing it up by sauteing extra asparagus and red peppers with garlic in olive oil first. But the results were fantastic!
566688,B001EO7LLM,A23OOCDGORGX9L,Michilu,0,0,5,1349654400,Like eating in a fine restaurant!,"This soup exceeded my expectations and really WOWED my husband.  It had a ""chef's-wink"" quality to it. Easy to prepare too..."
566689,B0060ECUTE,A2V0MF8VRKC1M8,"Darlene ""free2bmazing""",0,0,2,1324080000,weak for french roast.,"I absolutely love my coffee dark, robust and full of deep flavor. I have always liked Starbucks coffee and too French Roast has always been one of my favorite roasts. So when I saw this in k cup form, I thought win win. I am so disappointed. This isn't a true French Roast at all~it's weak and I couldn't even finish a cup. If you are also a lover of full-bodied, dark, and robust cups of brew...this Starbucks French Roast will only leave you very let down. Now Barista Prima French Roast and Italian Roast k cups are fantastic and perfect little cups of heaven for us dark roast coffee lovers!"
566690,B0060ECUTE,A278KTKR8F8JVX,Lucy D. Robinson,0,1,4,1323129600,Wow...strong coffee,"If you like super strong coffee, then take home this French Roast. I was a bit shocked at how strong it was actually. I like strong coffee but even this one set me back on my butt. Four stars for being too expensive."
566691,B005DXTGLI,A2NYJV50NHOMFZ,Dumpling,2,2,5,1318464000,The elusive dairy-free chai mix!,"I can't have dairy or soy, so I'd been looking for a dairy-free chai mix for a long time. Big Train already was my favorite chai brand when I could have dairy, so I was thrilled to find this dairy-free version. It is delicious, and has the same sweet and spicy taste of their other mixes. I used rice milk to prepare it and it came out tasting rich and satisfying. I'm sure it'd be good with coconut milk or almond milk too. Much richer and easier to make than if you try to brew your own chai from scratch. THANK YOU, Big Train--finally I can have chai again!"
566692,B005DXTGLI,A2QG1YDN52SYNQ,manmagnet,0,0,2,1325289600,a little disappointed,"we were very happy to see the non dairy chai offered even if it was a litle pricey.  we received in a very timely manner but the bottom of the canister was slit, it was in a plastic bag and we then put it into another container to give. didnot have time to return for the holiday though,  and it just wasnt as tasty as i remembered, so personaly a little dissapointed"
566693,B0096RP89G,A2P1U6RPELLMK6,"Lisa Scherber ""lisaann9""",3,3,5,1347840000,Golden Lentil with Madras Curry,As the previous poster described - I was shopping at Wal-Mart and noticed these pouches in the soup aisle.  The first I tried was the Golden Lentil with Madras Curry.  I too am a sucker for good curry.  I tried it today and OMG it is freaking delicious.  Campbell's GO Soups will be SOLID in my lunch rotation.
566694,B0096RP89G,A2V9A4GGAQ259L,"A. Nordby ""sasha""",0,0,5,1351123200,Delicious!,I have tried the coconut curry one and I absolutely loved it. The flavors are amazing. This is not your same old same old boring soup. I could eat it every day. Now I want to try all their other flavors from Campbell Go.
566695,B0096RP89G,A3FBBICQF86D2O,Ronald Fojtlin,0,0,5,1350345600,Pleasantly suprising,Decided to give the Moroccan soup a try.  Wow!  Great flavor and texture.  Robust and thick.  Would highly recommend it.  Can't wait to try the other flavors.
566696,B0096RP89G,A1W6CSR3RGINQO,Michshelly,0,0,5,1350259200,The Best Thing I Have Ever Put In My Mouth,"I don't even know where to begin... this is honestly the best soup I have ever had... and out of a bag!!  The flavor is amazing... its spicy but sweet, tangy but creamy all at the same time. I am a texture freak and the texture of this soup is unbelievable... its everything you would expect from soup but so much more with added crunchy and mushy veggies. I was skeptical of the bag that this soup is packaged in... but it actually cooks better than heating your soup in a bowl (it is actually entire hot... no cold or warm patches)... Campbells also added flaps on each side of the bag (where it is natural to grab while getting it out of the microwave) that make it so you don't burn your fingers. Let's just say I am in love... everyone should give these soups a try... I will be going back to the store to purchase more flavors to try!!!"
566697,B0096RP89G,AJX1LXU7F5MYQ,B. DeMoss,0,0,5,1349654400,"Only tried one flavor so far, but it is amazing.","I just happened to see this item at the store when I was looking for Chunky soup, and decided to try it.  IT IS AWESOME!  It bursts with flavor and texture.  It is easy to heat in the pouch, then consume.  This item will definitely be added to my regular lunch rotation.  I have only tried Curry Coconut Chicken so far, but the others look good, too.  This stuff is really good.  (I hope it doesn't turn out to be ""The Stuff"".)<br /><br />NOTE: This item, like all prepared soups, is high in sodium--not recommended for the sodium-restricted."
566698,B0096RP89G,A34VV0DDR0OFE5,K. Rowley,0,0,5,1349308800,Great Soup!,"Bought several of the different flavors of this new line of soups, and the Coconut Curry Chicken Mushroom was the first I tried. Soup was great, but I did have a bit of malfuction with the bag falling over in the microwave and about 1/2 the soup ending up getting thrown out. Next time I will pour the soup into a bowl before heating. I will be adding this to my rotation of choices for lunch."
566699,B0096RP89G,AL5RGGSFV6CE3,"Sybil C ""asiabrew""",0,0,5,1347408000,Coconut Curry Chicken Unexpectedly Amazing!,"I saw these pouched soups while I was shopping at Wal-Mart and was surprised to see that they were not only Campbell's brand soups but how  out of left field the flavor choices were for Campbell's. While different, that didn't immediately make me confident that the flavors would actually be successful.<br /><br />I decided to buy only one pouch of the Coconut Curry Chicken to try it out. I like curry so if this worked out yay me! Well Yay Me! This was RIDICULOUSLY good. While it was heating in the microwave (as it said to do in the directions) the fragrant aromas started seeping out. I was shocked. This smelled almost exactly like when I make coconut curry sauce on my own. It smelled so fresh and authentic, the only thing left to doubt was the taste. Surely the aroma was just some canned, chemically manufactured olfactory trick. I was happily proven wrong. The taste and the smell all fit together. And unlike Campbell's canned soups, where you had small pieces of of mushy vegetables or meat, here you had big pieces of carrots and chicken and crunchy water chestnuts, the shittake mushrooms were small however, but not negligible.<br /><br />Seriously try it out for yourself. You won't be disappointed. As for me I'm going to go buy a heck of a lot more."
566700,B0096RP89G,A19Q3S3LKF369H,J. C. Whitworth,0,1,5,1348272000,BEST packaged soup ever .,"I'm not much for writing reviews, especially long ones.<br /><br />This is the best packaged soup I have ever had. Each one was like I was sitting in a restaurant that just made it for me. I highly recommend this and hope they never stop making it. It is the easiest meal, and tastes 100% real<br /><br />The only problem is the price, especially here on Amazon it's WAY to high... I just bought them for $2.50 at Dominick's"
566701,B004MOA9EC,A2D69F8REK5ZKV,Andrew Mitchell,0,0,5,1315872000,Bite Sized Delight,"They taste just like cherry Twizzlers pull-and-peels, except you can grab a handful on the go. Although I could never stop at just one handful because they are so delicious."
566702,B000HEU8JW,AY1XHEA62BHD3,Lynette,1,1,5,1338940800,French Burnt Peanuts,Awesome! Remind me so much of the ones I used to get as a kid. Most producers of these do not make a good product. Yours was FANTASTIC and very addicting!
566703,B000HEU8JW,AG6KOXRQVDN6L,"Theodore Godlaski ""plinius the elder""",1,1,5,1184371200,A Treat,One of my favorite candies. Generally not available in stores anymore. Finding them on line was a real treat.
566704,B000HEU8JW,A2HAC1EBM1HPQP,"Earl B. Cooper ""skip""",0,0,5,1341360000,A vending Favorite,Nice and fresh also very colorful for catching the eye in a vending machine. Always a great choice and a public favorite!!!
566705,B000HEU8JW,A1Y19VRMNZ9QOS,Destiny,0,0,5,1334707200,Real Burnt Nuts!,"I purchased these for my Husband,He LOVES them,says they are the best He's ever had!He said they have a real ,but faint ,burnt taste!In no way appalling ,just good.So of course I tried them,they ARE GOOD!"
566706,B000HEU8JW,A23I4V5XZY0O4Z,KLS,0,0,5,1334102400,Very good,I had not thought about these since I was a kid and then my in-laws put some out.  Looked on Amazon as they are not easy to find. What we got were exactly as I remembered.  Very addictive though!
566707,B000HEU8JW,A3347QV50RPFXS,"KIM STRUM ""Kimmercat""",0,0,5,1328832000,"Yummy, Yummy, Yummy!!!!!!","French Burnt Peanuts are one of my favorite childhood candies!  During Christmas I searched high and low locally to find them to no avail!  Looking on Amazon, I found them - amazing - walking down memory lane with each and every bite!  The packaging is perfect, the product fresh and I totally will be buying them again!"
566708,B000HEU8JW,A1XILGCOA710RC,"R. Peters ""for my wife""",0,0,5,1295136000,A taste of yesteryear!,"A person I work with mentioned how much he used to love these Burnt Peanuts but can't find them. I gave these to him for a Christmas gift. He LOVED them. He admited he ate them in one sitting and has ordered more already!<br /><br />Great tasting, Great shipping time, = wonderful gift."
566709,B000HEU8JW,A1V4P1Q9VPEFOL,Majinat,1,2,5,1204848000,YUM,"Been looking for these great snack items in stores all over - but nobody seems to carry them anymore.  I was very pleased to see them available through Amazon.<br /><br />Unfortunatley, I ate the whole bag too quickly.  Guess I'll just have to order another one soon.<br /><br />Thanks!"
566710,B0012HCR9C,A2CZ4OA313WSKS,"albert camus ""alby""",7,7,5,1209340800,Best tomatoes on the market,I bought 2 cases of these plum tomatoes and have been making fantastic pasta sauces ever since.  I had never seen plum Muir Glen tomatoes in my supermarket and didn't know they existed until I saw them on Amazon. I had bought Muir Glen tomatoes which were good but the plum variety is superior. I recommend them and hope I can re-order them when I run out.
566711,B0012HCR9C,A3N652JFUS0GGJ,"Frances E. Giles ""Frances""",7,7,5,1207353600,Muir Glen tomato products,"<a href=""http://www.amazon.com/gp/product/B000LKZ9IC"">Muir Glen Organic Diced Tomatoes, Fire Roasted, 14.5-Ounce Cans (Pack of 12)</a>Purchased cases of about 4 different varieties of Muir Glen canned tomatoes and am quite pleased. The discount was lagniappe as I have used these items before and loved them. High quality taste and texture. Heavy fruit to juice ratio."
566712,B0012HCR9C,A22RPV5PN5XRJ3,"L. Conn ""veggie lover""",6,7,5,1219881600,cheaper than my grocery store,"We use these tomatoes all the time.  Getting them from Amazon Subscribe and Save is cheaper than my grocery store, plus I don't have to put them in the cart, take them out of the cart, put them in the car, take them out of the car...."
566713,B0012HCR9C,A2LI3X17FLYAFL,Matthew T. Miller,2,2,3,1260748800,"good deal, lots of dented cans.",This is a really good deal compared to the super markets near my house.  The only downside is that about 4 of the 12 cans were dented.  I think Amazon might need to investigate a better shipping solution.
566714,B0012HCR9C,A2ZPRZF9GNT80U,J. Visnaskas,1,1,5,1320537600,Wicked Awesome!,"I've been growing and preserving my own organic tomatoes for close to 40 years now and these are just as good as any variety I've ever grown and canned myself. I'm extremely pleased I found these as it's not getting any easier for this old fart (NOT BORING THOUGH!), to deal with the struggle and mess of home canning."
566715,B0012HCR9C,A11WX8MONC0BP0,"vom357 ""palken1""",1,1,5,1307059200,the best outside italy,a fine product and free shipping from amazon beats lugging cans from the store<br />i give all muir glen products an A+<br />premium quality imports from italy still beat them out but mot by much
566716,B0012HCR9C,A3QJQQZTKFV7BJ,"Sandy ""WR Gma""",1,1,5,1248739200,Absolutely the BEST and ORGANIC,"This is a copy of my other reviews of Muir Glen tomatoes, but I said it all there, so here goes...I've generally avoided red sauces and anything with canned tomatoes, but Cook's Illustrated's recipe for almost-fresh pasta sauce made with these (or any Muir Glen tomatoes) has changed me for life. I'm also buying organic whenever I can, so now I've started experimenting with other tomato recipes using these and am loving them. My friends and family laugh at me when I do ""subscribe and save"" and buy a case at a time, but it's a great bargain and there's always a can (or more) on the basement shelf."
566717,B0012HCR9C,A21PGS00V60ATE,me,4,6,1,1235260800,May not be suitable for anyone with corn allergy,Muir Glen web site says this product contains naturally derived citric acid. Muir Glen customer service says naturally derived citric acid is from corn.
566718,B0012HCR9C,A3AEUKDV48WQIC,akatmom,0,0,5,1316390400,Very delicious,"these tomatoes are fresh tasting, and they make great sauce.  they are thick and not seedy, right out of the can.  you will love them."
566719,B0012HCR9C,A1R6PBUJB8LBGC,"Stretch ""Stretch""",3,7,1,1266451200,please without bpa.,"Muir Glen cans are lined in plastic and leach Bisphenol A. Too bad because this was a great product and was a standard in my household. My initial conversations with them they contradicted this fact, which to me was misleading. General Mills owns Cascadian Farms as well and now I don't buy there either.<br />Now we use BioNature in jars or Pomi products in Tetra Pak cartons. All canned tomato products use BPA and so do many of the lids of jars used in food containment.<br />Now I also just make from scratch which is made simple by chef Andrew Carmellini in Everyday Italian. Lydia Bastianich is another favorite chef that deserves mention for simple yet big flavors.<br />Boil, peel, freeze and store. Can manufacturing companies that I corresponded with said they were working on a solution for later this year or next year."
566720,B000EM8UOW,A1VMQOOJL8W1GP,L. Joseph,5,5,4,1249689600,Very good Teriyaki Sauce,"I made a stir fry with it the day after receiving it in the mail and it was really rather good.  In fact usually when I made it with other sauces there was leftovers but this time everyone had seconds and even some thirds and finished it.<br /><br />The only reason this didn't get 5 stars was that you really can't taste any pineapple in it. I figured the pineapple would be subtle when I bought it but we couldn't notice it at all.  But even with this minor flaw it is good sauce.<br /><br />EDIT: I used this to marinade a roast and it came out really good.  First I took a knife and poked allot of holes in the top of the roast, put garlic cloves in the holes then rubbed the roast down with a cup of this sauce and let it sit in the fridge over night.  After cooking in the crockpot for 10 hours on low it was out of site.  Even my very picky eater of a mom came over and loved it.  In fact she came back over today for leftovers."
566721,B000EM8UOW,A35TFL3GFRLHSW,BlkIceMom,1,1,5,1285891200,Marinade,If you like Teriyaki you will love this. I have used it to marinade just about every kind of meat there is and it has a great flavor.
566722,B0045G4T2A,AHVW1CGT77WCP,L. Wolf,0,0,2,1312243200,Dented Cans,"I received this item the other day and every single can in the box was dented.  Not sure if this was a fluke thing or if it's normal since this was the first time ordering these.<br /><br />Also, my 20 month old daughter who eats everything under sun would NOT eat these.  I'm not sure if she didn't like the taste or if she just has to get use to them.  She LOVED her Gerber raviolis and since she ate so many of them I wanted to try and go organic but she can't seem to swallow these (no pun in tended).  I'm going to try a couple more times and if she won't eat them I will probably go back to Gerber brand.  Maybe my 5 month old son will like them when he's old enough."
566723,B005YCF8LU,A1QR76OCGJQ2EV,Dee Jay,0,0,5,1345334400,The only thing I don't like about this coffee...,"... is that it doesn't come in K-cups.  For those put off by the thought of bacon coffee, it doesn't taste or smell like bacon.  It's more maple-y with a hint of smoky and savory - very aromatic and perfect for breakfast.  I've had maple bacon coffees before but they weren't nearly as good as this one.  Also try the orange coconut coffee; it's outstanding as well!"
566724,B002RMLZEY,A1725QK0AR86SH,"Angie D ""Angela""",0,0,4,1301356800,Lovely,I used the hibiscus flowers for champagne cocktails and they were absolutely lovely.  They bloomed in the glass with bubbles streaming off of them and were translucent when backlit.  The taste of the actual flower is not as sweet or crisp as I would have liked but the cocktails were delicious.
566725,B002RMLZEY,A1AC3GW9PABKOY,amulet,0,0,5,1299888000,Drink Me - Eat Me,"These Wild Hibiscus Flowers are a great item to add to your champagne or clear or golden fizzie drink.  Fun to drink and fun to eat.  The red color from the tasty syrup inspires love.  Wish they would sell it more in the local stores, not just at Christmas-New Year's, especially at Valentine's Day.  I bought mine online and it got here just fine. Enjoyed it with my partner.  Yum."
566726,B002RMLZEY,A3XUGZZ9TZIYJ,TERESA FLINT-BORDEN,0,0,5,1296604800,Fantasic !,This was the hit of our hoilday dinner party ! I created a special toast about the flower & our lives .<br />Now I'm using them for my workshops for women & they love them ..whay fun<br />I need to order more !
566727,B000634EZS,A3U4GWFXO18FCZ,"Cynthia Baker ""pseudo intellectual""",23,24,4,1103328000,Smells WONDERFUL,"I had seen this cat litter at a kiosk at the Pet Expo in Del Mar, CA and had noticed how wonderful it smells. The litter is composed of smooth, compressed and extruded pine sawdust pellets, shaped like miniature broken dowel rods. The sawdust is a by-product of the lumber industry, which must be convenient for the Florida company that produces Feline Pine, because pine trees grow like weeds in the South.<br /><br />I tried a bag to replace the ordinary silica clay cat litter we had been using for our little cat. It is not quite as absorbent or as fast-drying as clay litter; however, there is far, far less tracking and the sharp odor of ammonia is much less than that with the clay litter. Any ""dust"" that the pine pellets might have is not at all noticeable, and my little cat adjusted to using it without a problem.<br /><br />As the pellets absorb moisture, they swell and disintegrate into fine, soft sawdust. I suspect my little cat prefers the smooth texture of the pellets and the softness of the sawdust to the old small, hard, sharp clay gravel that got stuck in her paws. The sawdust does not dry as quickly as clay litter, even with daily ""stirring"", but the woodsy, evergreen fragrance of pine makes scooping much less of a chore.<br /><br />The only drawback to this litter is that the pellets are a bigger than clay litter gravel, requiring a wide-slot scooping tool so you don't dump a clump of pellets into the toilet when you scoop solid waste. The bag is attractive and resealable plastic, but I think paper packaging with a clear window to see the product would entice cat owners to switch. The packaging also says ""CHEMICAL FREE..."" which is false; our planet is composed of chemicals. H2O (water) is a chemical. It should read ""HAZARDOUS CHEMICAL FREE"" or ""BIOTOXIN FREE"".<br /><br />Anyway, I'll be using the old clay litter only to clean up the oil stains in my carport. Now that I've tried a premium litter, I'll experiment with the wheat and corn types to find which one my little cat likes best."
566728,B000634EZS,AFYF77JYBY8Z4,"steelfaerie ""Renaissance woman""",10,10,5,1155945600,"Happy cat, very happy owner.","I am convinced this stuff is some sort of miracle for cat owners. My cat used to use the compressed, recycled newsprint litter (like Carefresh or Yesterday's News) and I thought that was good, but then I read about Feline Pine and decided to give it a try. Well, there is simply NO SMELL AT ALL. I live in a small studio apartment which I thought was forever fated to smell like a litterbox, but with the discovery of Feline Pine, which absorbs all of the ammonia  odor, you don't even know I have a cat unless you see her. The tracking is noticably reduced and there is much less mess. I highly recommend you try this stuff - my cat made the switch with no problem at all, and it's been completely worth it for both of us (my apartment doesn't stink, and she doesn't inhale clay dust.)"
566729,B000634EZS,A2E1EFNIZL2FVA,Rizzo  &#4314;(&#3232;_&#3232;&#4314;),5,5,5,1245628800,How my life was spared.,"Ever since I was a baby kitten, rescued from a busy street and parking lot, my lady owner has been squawking about my litter smell.  The nice guy who rescued me, smelled the litter box but didn't want to complain...cause he just loves me.  We are cool, we're real buddies.  But oh, that lady in the house, she tried everything to get me to stop stinkin'.<br /><br />I begged the nice guy to clean it up so mean lady won't get rid of me!  Every day he cleaned my box, but it still didn't work.  And sometimes he didn't remember too good and ohhhh the smell was baddddd.  Even for me.  And each week they hauled in different kinds of litter for me...still no good!  She hated the smell and swore to the man that I would have to go. Ow... Meow!  I could just hear her nagging voice:  Clean up that damn litter box!  I got a little scared every now and then.<br /><br />Then one day she heard about Feline Pine.  The pellets were little strange for me to get used to, but I was willing to do anything to keep the mean lady happy.  Then, I couldn't believe my whiskers.  There was no smell for weeks.  The pellets started turning to sawdust.  And there was no smell, same litter for two weeks or more!  Meow, Meow.<br /><br />I am happy, my nice man is happy cause mean lady is happy and a sweetie now.  All because of Feline Pine.  Lex"
566730,B000634EZS,AN3DWD39JN1VA,M. Mackay,7,9,5,1226793600,Pretty picture on the bag but is it worth it?,"While this product is marketed especially for cats,I am not sure that it is prepared any differently than the wood pellets available for horses or wood stoves which sell at a fraction of the cost. $3/40lbs.  That is quite a big difference.  I recommend you use your own judgment about safety but I have had no problems using the stove pellets."
